Category,Original,Date
Condiments,623,1/6/2020
Hair Care,42242,5/25/2020
Hair Care,71957,5/18/2020
Condiments,3145,1/13/2020
Hair Care,57340,5/11/2020
Hair Care,49579,5/4/2020
Hair Care,70334,4/27/2020
Hair Care,65380,4/20/2020
Condiments,3266,1/20/2020
Hair Care,19022,4/13/2020
Condiments,4151,1/27/2020
Condiments,2401,2/3/2020
Hair Care,41577,4/6/2020
Condiments,2678,2/10/2020
Hair Care,205882,3/30/2020
Condiments,1894,2/17/2020
Condiments,3203,2/24/2020
Condiments,3458,3/2/2020
Hair Care,70670,3/23/2020
Condiments,2362,3/9/2020
Condiments,3493,3/16/2020
Hair Care,38968,3/16/2020
Condiments,5757,3/23/2020
Condiments,20251,3/30/2020
Hair Care,44959,3/9/2020
Hair Care,57505,3/2/2020
Condiments,2638,4/6/2020
Hair Care,73205,2/24/2020
Condiments,8008,4/13/2020
Condiments,10133,4/20/2020
Condiments,7994,4/27/2020
Hair Care,38991,2/17/2020
Hair Care,37206,2/10/2020
Condiments,1292,5/4/2020
Hair Care,108469,2/3/2020
Hair Care,58499,1/27/2020
Condiments,5365,5/11/2020
Hair Care,46321,1/20/2020
Condiments,14067,5/18/2020
Hair Care,33061,1/13/2020
Hair Care,14139,1/6/2020
Condiments,5126,5/25/2020
