Row Labels,Plan Invest,Pd Invest,SAP Payments (Dr),SAP Accruals (Cr)
3/1/2020,224013246.7,94952062.67,190289235,-208128854
4/2/2020,267949053,477545165.5,178726804,-169131660
5/3/2020,223276382.3,110358582.5,216791551,-221174419
6/4/2020,235724312.3,115452843.5,213757950,-220903295
7/5/2020,272313482.3,446524898.5,184589339,-181929844
8/6/2020,232626352.7,118521068.5,228034276,-218393414
9/7/2020,203281312.7,114818908.5,195327035,-201463844
10/8/2020,259877485,415385248.5,197774707,-201205297
11/9/2020,204556879.7,114182983.5,193181572,-214762427
12/10/2020,190728142.3,106031146.5,187230518,-218285106
1/1/2021,266246510,499918524,95234109,-160616896
2/1/2021,181652737,92175702,130239892,-177458400
3/1/2021,239149288,116785345,199030875,-207080959
4/1/2021,247718288,462324113,191467739,-182371976
5/1/2021,247319687,122146103,214237555,-238384687
6/1/2021,243413765,114985793,208967367,-229156934
7/1/2021,265559618,428323483,208057778,-199225859
8/1/2021,239595344,115622005,228989804,-220963867
9/1/2021,190068997,101074163,198292395,-195706986
10/1/2021,249620967,391937775,204365455,-213058931
11/1/2021,192412884,101886323,193904436,-227269858
12/1/2021,198437399,99920332,192361988,-211955128
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
