Row Labels,Plan Invest,Pd Invest,SAP Accruals (Cr)
3/1/2020,224013246.7,94952062.67,-208128854
4/1/2020,267949053,477545165.5,-169131660
5/1/2020,223276382.3,110358582.5,-221174419
6/1/2020,235724312.3,115452843.5,-220903295
7/1/2020,272313482.3,446524898.5,-181929844
8/1/2020,232626352.7,118521068.5,-218393414
9/1/2020,203281312.7,114818908.5,-201463844
10/1/2020,259877485,415385248.5,-201205297
11/1/2020,204556879.7,114182983.5,-214762427
12/1/2020,190728142.3,106031146.5,-218285106
1/1/2021,266246510,499918524,-160616896
2/1/2021,181652737,92175702,-177458400
3/1/2021,239149288,116785345,-207080959
4/1/2021,247718288,462324113,-182371976
5/1/2021,247319687,122146103,-238384687
6/1/2021,243413765,114985793,-229156934
7/1/2021,265559618,428323483,-199225859
8/1/2021,239595344,115622005,-220963867
9/1/2021,190068997,101074163,-195706986
10/1/2021,249620967,391937775,-213058931
11/1/2021,192412884,101886323,-227269858
12/1/2021,198437399,99920332,-211955128
